created_at,data_source,sport,market,selection,odds,stake,status,signal_mode,reject_reason,notes
2026-03-05 17:57:16.437385+01:00,paper_signal,soccer_epl,h2h,Crystal Palace (Tottenham Hotspur vs Crystal Palace),3.1,0.0,open,PAPER_ONLY,reject_confidence_below_min: model_prob=0.29 < gate=0.55,signal_mode=PAPER_ONLY; reject_reason=reject_confidence_below_min: model_prob=0.29 < gate=0.55; source=paper_signal
2026-03-05 17:57:16.458319+01:00,paper_signal,soccer_epl,h2h,Tottenham Hotspur (Tottenham Hotspur vs Crystal Palace),2.35,0.0,open,PAPER_ONLY,reject_confidence_below_min: model_prob=0.39 < gate=0.55,signal_mode=PAPER_ONLY; reject_reason=reject_confidence_below_min: model_prob=0.39 < gate=0.55; source=paper_signal
2026-03-05 17:57:16.473411+01:00,paper_signal,soccer_epl,h2h,Draw (Tottenham Hotspur vs Crystal Palace),3.2,0.0,open,PAPER_ONLY,reject_confidence_below_min: model_prob=0.22 < gate=0.55,signal_mode=PAPER_ONLY; reject_reason=reject_confidence_below_min: model_prob=0.22 < gate=0.55; source=paper_signal
2026-03-05 17:57:17.186067+01:00,paper_signal,basketball_nba,h2h,Dallas Mavericks (Orlando Magic vs Dallas Mavericks),3.8,0.0,open,PAPER_ONLY,reject_confidence_below_min: model_prob=0.28 < gate=0.55,signal_mode=PAPER_ONLY; reject_reason=reject_confidence_below_min: model_prob=0.28 < gate=0.55; source=paper_signal
2026-03-05 17:57:17.358541+01:00,paper_signal,basketball_nba,h2h,Orlando Magic (Orlando Magic vs Dallas Mavericks),1.25,0.0,open,PAPER_ONLY,,signal_mode=PAPER_ONLY; source=paper_signal
2026-03-05 17:57:17.396652+01:00,paper_signal,basketball_nba,h2h,Utah Jazz (Washington Wizards vs Utah Jazz),2.35,0.0,open,PAPER_ONLY,reject_confidence_below_min: model_prob=0.53 < gate=0.55,signal_mode=PAPER_ONLY; reject_reason=reject_confidence_below_min: model_prob=0.53 < gate=0.55; source=paper_signal
2026-03-05 17:57:17.567977+01:00,paper_signal,basketball_nba,h2h,Washington Wizards (Washington Wizards vs Utah Jazz),1.57,1.13,open,PLAYABLE,,signal_mode=PLAYABLE; source=paper_signal
2026-03-05 17:57:17.607641+01:00,paper_signal,basketball_nba,h2h,Brooklyn Nets (Miami Heat vs Brooklyn Nets),6.5,0.0,open,PAPER_ONLY,reject_confidence_below_min: model_prob=0.23 < gate=0.55,signal_mode=PAPER_ONLY; reject_reason=reject_confidence_below_min: model_prob=0.23 < gate=0.55; source=paper_signal
2026-03-05 17:57:17.701605+01:00,paper_signal,basketball_nba,h2h,Golden State Warriors (Houston Rockets vs Golden State Warriors),3.8,0.0,open,PAPER_ONLY,reject_confidence_below_min: model_prob=0.29 < gate=0.55,signal_mode=PAPER_ONLY; reject_reason=reject_confidence_below_min: model_prob=0.29 < gate=0.55; source=paper_signal
2026-03-05 17:57:17.872526+01:00,paper_signal,basketball_nba,h2h,Houston Rockets (Houston Rockets vs Golden State Warriors),1.25,0.0,open,PAPER_ONLY,,signal_mode=PAPER_ONLY; source=paper_signal
